id,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,uniq_ratio
1,the all-american rejects,the all-american rejects,21,move along,2006,,move along,the all american rejects,go ahead and waste your days with thinking when you fall everyone stands another day and youve had your fill of sinking with the life held in your hands are shaking cold these hands are meant to hold speak to me when all you got to keep is strong move along move along like i know ya do and even when your hope is gone move along move along just to make it through move along move along so a day when youve lost yourself completely could be a night when your life ends such a heart that will lead you to deceiving all the pain held in your hands are shaking cold your hands are mine to hold speak to me when all you got to keep is strong move along move along like i know ya do and even when your hope is gone move along move along just to make it through move along move along when everything is wrong we move along when everything is wrong we move along when all you got to keep is strong move along move along like i know you do and even when your hope is gone move along move along just to make it through speak to me when all you got to keep is strong move along move along like i know ya do and even when your hope is gone move along move along just to make it through move along move along move along right back what is wrong we move along right back what is wrong we move along right back what is wrong we move along right back what is wrong we move along,0.000198,0.529,0.922,0,0,3,0.26,-3.84,1,67,0.0459,109.847,4,0.628,3.981333333,280,1.172136638,76,3.684210526
2,rascal flatts,rascal flatts,26,what hurts the most,2006,,what hurts the most,rascal flatts,i can take the rain on the roof of this empty house that don t bother me i can take a few tears now and then and just let them out i m not a raid to cry every once in a while even though going on with you gone still upsets me there are days every now and again i pretend i m ok but that s not what gets me what hurts the most was being so close and having so much to say and watching you walk away and never knowing what could have been and not seeing that loving you is what i was tryin to do it s hard to deal with the pain of losing you everywhere i go but i m doin it it s hard to force that smile when i see our old friends and i m alone still harder getting up getting dressed livin with this regret but i know if i could do it over i would trade give away all the words that i saved in my heart that i left unspoken what hurts the most is being so close and having so much to say much to say and watching you walk away and never knowing what could have been and not seeing that loving you is what i was trying to do oh what hurts the most is being so close and having so much to say and watching you walk away and never knowing what could have been and not seeing that loving you is what i was trying to do oh not seeing that loving you that s what i was trying to do,0.00842,0.527,0.671,0,0,5,0.268,-5.032,0,68,0.0283,136.03,4,0.331,3.56845,280,1.307757336,112,2.5
3,ray j,ray j,67,one wish,2006,,one wish,ray j,can i talk to you for a minute you know i be thinking to myself we had a lot of good times together we did everything together yeah we would wake up early in the morning remember that use to watch the sunrise use to watch the sunset damn i miss those days it just feels so good one little itty bitty wish if i could just have one wish damn baby just dont understand where we went wrong i gave you my heart i gave you my soul i gave you as a matter of fact i was the one who said i love you first it was about eight years ago dont act like you dont know we were sittin at home in your mamas livin room cause we couldnt be alone see your mama knew i was something else she knew how i felt back then we were in school and thats your favorite excuse growin up i was a fool and i cant lie im missing you listen and dont trip i think i need a bottle with a genie in it heres my wish list first one i would create a heart changing love second one ill take yours and fill it all up third one but i dont need a lot of wishes cause ill be okay if i get one if i had one wish we would be best friends love would never end it would just begin if i had one wish you would be my boo promise to love you trust me ill trust you if i had one wish we would run away making love all day have us a baby if i had one wish ill make you my whole life and youll be my wife make it right this time if i had one wish one wish one wish one wish one wish one wish one wish one wish one wish one wish one wish one wish one wish now tell me is this the only way i can get you right back in if so then searchin ill go then i can have you for sho then youll be loving me holding me kissing me so girl dont tell me what im feeling is make believe i swear if i lose a second chance with you i wouldnt know what to do ill probably check myself into some kind of clinic i couldnt be alone because without you im sick heres my wish list first one i would create a heart changing love second one ill take yours and fill it all up third one but i dont need a lot of wishes cause ill be okay if i get one if i had one wish we would be best friends love would never end it would just begin if i had one wish you would be my boo promise to love you trust me ill trust you if i had one wish we would run away making love all day have us a baby if i had one wish ill make you my whole life and youll be my wife make it right this time if i had one wish i dont even know how we ended upon this road and even though we are grown girl i just want you to know if i had one wish we would be best friends love would never end it would just begin if i had one wish you would be my boo promise to love you trust me ill trust you if i had one wish we would run away making love all day have us a baby if i had one wish ill make you my whole life and youll be my wife make it right this time,0.27,0.524,0.635,1,0,5,0.341,-7.22,0,62,0.302,127.618,4,0.603,5.627333333,632,1.871816136,188,3.361702128
4,nickelback,nickelback,53,far away,2006,,far away,nickelback,this time this place misused mistakes too long too late who was i to make you wait just one chance just one breath just in case theres just one left cause you know you know you know that i love you i have loved you all along and i miss you been far away for far too long i keep dreaming youll be with me and youll never go stop breathing if i dont see you anymore on my knees ill ask last chance for one last dance cause with you id withstand all of hell to hold your hand id give it all id give for us give anything but i wont give up cause you know you know you know that i love you i have loved you all along and i miss you been far away for far too long i keep dreaming youll be with me and youll never go stop breathing if i dont see you anymore so far away been far away for far too long so far away been far away for far too long but you know you know you know i wanted i wanted you to stay cause i needed i need to hear you say that i love you i have loved you all along and i forgive you for being away for far too long so keep breathing cause im not leaving you anymore believe it hold on to me and never let me go keep breathing cause im not leaving you anymore believe it hold on to me and never let me go keep breathing hold on to me and never let me go keep breathing hold on to me and never let me go,0.000696,0.518,0.797,0,0,6,0.107,-5.153,1,64,0.0309,132.915,4,0.293,3.96955,287,1.205006445,86,3.337209302
5,hinder,hinder,30,lips of an angel,2006,,lips of an angel,hinder,honey why you callin me so late it s kinda hard to talk right now honey why you cryin is every thing okay i gotta whisper cause i can t be too loud well my girl s in the next room sometimes i wish she was you i guess we never really moved on it s really good to hear your voice sayin my name it sounds so sweet comin from the lips of an angel hearin those words it makes me weak and i never wanna say goodbye but girl you make it hard to be faithful with the lips of an angel it s funny that you re callin me tonight and yes i ve dreamt of you too does he know you re talkin to me will it start a fight no i don t think she has a clue well my girl s in the next room sometimes i wish she was you i guess we never really moved on it s really good to hear your voice sayin my name it sounds so sweet comin from the lips of an angel hearin those words it makes me weak and i never wanna say goodbye but girl you make it hard to be faithful with the lips of an angel well my girl s in the next room sometimes i wish she was you i guess we never really moved on it s really good to hear your voice sayin my name it sounds so sweet comin from the lips of an angel hearin those words it makes me weak and i never wanna say goodbye but girl you make it hard to be faithful with the lips of an angel but girl you make it hard to be faithful with the lips of an angel honey why you callin me so late,0.0328,0.476,0.769,0,0,2,0.197,-5.344,1,68,0.0332,129.051,4,0.287,4.364216667,307,1.17241353,93,3.301075269
6,taylor hicks,taylor hicks,99,do i make you proud,2006,,do i make you proud,taylor hicks,ive never been the one to raise my hand that was not me and now thats who i am because of you i am standing tall my heart is full of endless gratitude you were the one the one to guide me through now i can see and i believe its only just beginning this is what we dream about but the only question with me now is do i make you proud stronger than ive ever been now never been afraid of standing out but do i make you proud i guess ive learned to question is to grow that you still have faith is all i need to know ive learned to love myself in spite of me and ive learned to walk on the road that i believe this is what we dream about but the only question with me now is do i make you proud stronger than ive ever been now never been afraid of standing out but do i make you proud everybody needs to rise up everybody needs to be loved to be loved this is what we dream about but the only question with me now is do i make you do i make you proud this is what we dream about but the only question with me now is do i make you proud stronger than ive ever been now but do i make you proud this is what we dream about but the only question with me now is do i make you proud stronger than ive ever been now never been afraid of standing out do i make you proud but do i make you proud this is what we dream about but the only question with me now is do i make you do i make you proud,0.026,0.463,0.524,0,0,1,0.102,-8.207,1,30,0.0316,144.055,4,0.308,4.144883333,300,1.206306571,77,3.896103896
7,the all-american rejects,the all-american rejects,48,dirty little secret,2006,,dirty little secret,the all american rejects,let me know that ive done wrong when ive known this all along i go around a time or two just to waste my time with you tell me all that youve thrown away find out games you dont want to play you are the only one that needs to know ill keep you my dirty little secret dont tell anyone or youll be just another regret my dirty little secret who has to know when we live such fragile lives its the best way we survive i go around a time or two just to waste my time with you tell me all that youve thrown away find out games you dont want to play you are the only one that needs to know ill keep you my dirty little secret dont tell anyone or youll be just another regret my dirty little secret who has to know the way she feels inside these sleeping thoughts wont lie and all ive tried to hide its eating me apart trace this life out ill keep you my dirty little secret dont tell anyone or youll be just another regret my dirty little secret ill keep you my dirty little secret dont tell anyone or youll be just another regret my dirty little secret dirty little secret dirty little secret who has to know who has to know,0.0004,0.453,0.942,0,2.65E-06,10,0.667,-4.256,1,69,0.0466,143.85,4,0.457,3.22755,227,1.172199759,76,2.986842105
8,jojo,jojo,72,too little too late,2006,,too little too late,jojo,come with me stay the night you say the words but boy it dont feel right what do ya expect me to say you take my hand and you say youve changed but boy you know your begging dont fool me because to you its just a game so let me on down cause time has made me strong im starting to move on im gonna say this now your chance has come and gone and you know its just too little too late a little too wrong and i cant wait but you know all the right things to say you say you dream of my face but you dont like me you just like the chase to be real it doesnt matter anyway yeah yeah its just too little too late mhmm i was young and in love i gave you everything but it wasnt enough and now you wanna communicate go find someone else im letting you go im loving myself you got a problem but dont come asking me for help cause you know its just too little too late a little too wrong and i cant wait but you know all the right things to say you say you dream of my face but you dont like me you just like the chase to be real it doesnt matter anyway i can love with all of my heart baby i know i have so much to give with a player like you i dont have a prayer thats no way to live ohh mmm no its just too little too late yeah its just too little too late a little too wrong and i cant wait but you know all the right things to say you say you dream of my face but you dont like me you just like the chase to be real it doesnt matter anyway yeah you know its just too little too late oh i cant wait its just too little too late a little too wrong and i cant wait but you know all the right things to say you say you dream of my face but you dont like me you just like the chase to be real it doesnt matter anyway,0.0183,0.446,0.77,0,1.07E-06,6,0.122,-6.121,0,66,0.0549,82.765,4,0.717,3.692883333,374,1.687931291,110,3.4
9,evanescence,evanescence,77,call me when you're sober,2006,,call me when youre sober,evanescence,dont cry to me if you loved me you would be here with me you want me come find me make up your mind should i let you fall lose it all so maybe you can remember yourself cant keep believing were only deceiving ourselves and im sick of the lie and youre too late dont cry to me if you loved me you would be here with me you want me come find me make up your mind couldnt take the blame sick with shame must be exhausting to lose your own game selfishly hated no wonder youre jaded you cant play the victim this time and youre too late dont cry to me if you loved me you would be here with me you want me come find me make up your mind you never call me when youre sober you only want it cause its over its over how could i have burned paradise how could i you were never mine so dont cry to me if you loved me you would be here with me dont lie to me just get your things ive made up your mind,0.00263,0.444,0.867,0,0,7,0.301,-4.033,1,59,0.0513,93.423,4,0.323,3.57845,192,0.89424192,81,2.37037037
10,nickelback,nickelback,49,savin' me,2006,,savin me,nickelback,prison gates wont open up for me on these hands and knees im crawlin oh i reach for you well im terrified of these four walls these iron bars cant hold my soul in and oh i scream for you and teach me wrong from right and say it for me say it to me and ill leave this life behind me say it if its worth savin me heavens gates wont open up for me with these broken wings im fallin and all i see is you these city walls aint got no love for me im on the ledge of the eighteenth story and all i need from you and teach me wrong from right and say it for me say it to me and ill leave this life behind me say it if its worth savin me hurry im fallin and oh i scream for you and teach me wrong from right and say it for me say it to me and ill leave this life behind me say it if its worth saving me and say it for me say it to me and ill leave this life behind me say it if its worth savin me,0.000731,0.441,0.815,0,0,3,0.414,-4.088,1,55,0.0276,164.021,4,0.522,3.655333333,201,0.916469086,67,3
